array,artifact,bytes_uncompressed,description,dtype,elements,maximum,minimum,nonfinite_count,shape
left,bases/block_00_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.5694891214370728,-0.7319705486297607,0,2560x64
singular_values,bases/block_00_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,14.072406768798828,4.955113410949707,0,64
right,bases/block_00_down.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.14330177009105682,-0.1602628380060196,0,6912x64
left,bases/block_00_gate.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.13972395658493042,-0.12283897399902344,0,6912x64
singular_values,bases/block_00_gate.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,90.78773498535156,6.827676296234131,0,64
right,bases/block_00_gate.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.6796579360961914,-0.31872743368148804,0,2560x64
left,bases/block_00_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.23350605368614197,-0.24250753223896027,0,2560x64
singular_values,bases/block_00_k.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,9.145340919494629,1.2984546422958374,0,64
right,bases/block_00_k.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.33693844079971313,-0.37810444831848145,0,2560x64
left,bases/block_00_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.7957481741905212,-0.5499679446220398,0,2560x64
singular_values,bases/block_00_o.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,20.024967193603516,4.4194560050964355,0,64
right,bases/block_00_o.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.2031547725200653,-0.18808284401893616,0,2560x64
left,bases/block_00_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.23082195222377777,-0.1995810866355896,0,2560x64
singular_values,bases/block_00_q.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,14.768775939941406,1.4684641361236572,0,64
right,bases/block_00_q.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.25871825218200684,-0.274973064661026,0,2560x64
left,bases/block_00_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.14744994044303894,-0.13018396496772766,0,2560x64
singular_values,bases/block_00_v.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,6.377334117889404,1.858586311340332,0,64
right,bases/block_00_v.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.26333317160606384,-0.31356582045555115,0,2560x64
left,bases/block_00_value.npz,1769472,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,442368,0.12767356634140015,-0.13964833319187164,0,6912x64
singular_values,bases/block_00_value.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,10.929614067077637,6.318240165710449,0,64
right,bases/block_00_value.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.09234855324029922,-0.11905401945114136,0,2560x64
left,bases/block_01_down.npz,655360,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,163840,0.4676501452922821,-0.4963776767253876,0,2560x64
singular_values,bases/block_01_down.npz,256,Machine-readable analysis field; definition follows the literal field name and source table grain.,float32,64,12.251503944396973,4.9507598876953125,0,64
