block,produced_state,head_count,threshold
0,1,0,V-O overlap > 0.5
1,2,0,V-O overlap > 0.5
2,3,0,V-O overlap > 0.5
3,4,0,V-O overlap > 0.5
4,5,0,V-O overlap > 0.5
5,6,0,V-O overlap > 0.5
6,7,0,V-O overlap > 0.5
7,8,0,V-O overlap > 0.5
8,9,0,V-O overlap > 0.5
9,10,0,V-O overlap > 0.5
10,11,0,V-O overlap > 0.5
11,12,0,V-O overlap > 0.5
12,13,0,V-O overlap > 0.5
13,14,0,V-O overlap > 0.5
14,15,0,V-O overlap > 0.5
15,16,0,V-O overlap > 0.5
16,17,0,V-O overlap > 0.5
17,18,0,V-O overlap > 0.5
18,19,0,V-O overlap > 0.5
19,20,0,V-O overlap > 0.5
20,21,0,V-O overlap > 0.5
21,22,0,V-O overlap > 0.5
22,23,0,V-O overlap > 0.5
23,24,0,V-O overlap > 0.5
24,25,0,V-O overlap > 0.5
25,26,0,V-O overlap > 0.5
26,27,0,V-O overlap > 0.5
27,28,0,V-O overlap > 0.5
28,29,0,V-O overlap > 0.5
29,30,0,V-O overlap > 0.5
30,31,0,V-O overlap > 0.5
31,32,0,V-O overlap > 0.5
32,33,0,V-O overlap > 0.5
33,34,0,V-O overlap > 0.5
34,35,0,V-O overlap > 0.5
35,36,0,V-O overlap > 0.5
36,37,0,V-O overlap > 0.5
37,38,0,V-O overlap > 0.5
38,39,0,V-O overlap > 0.5
39,40,0,V-O overlap > 0.5
40,41,0,V-O overlap > 0.5
41,42,0,V-O overlap > 0.5
42,43,0,V-O overlap > 0.5
43,44,0,V-O overlap > 0.5
44,45,0,V-O overlap > 0.5
45,46,2,V-O overlap > 0.5
46,47,4,V-O overlap > 0.5
47,48,3,V-O overlap > 0.5
48,49,5,V-O overlap > 0.5
49,50,6,V-O overlap > 0.5
50,51,10,V-O overlap > 0.5
51,52,2,V-O overlap > 0.5
52,53,2,V-O overlap > 0.5
53,54,0,V-O overlap > 0.5
54,55,1,V-O overlap > 0.5
55,56,0,V-O overlap > 0.5
56,57,0,V-O overlap > 0.5
57,58,0,V-O overlap > 0.5
58,59,1,V-O overlap > 0.5
59,60,0,V-O overlap > 0.5
60,61,1,V-O overlap > 0.5
61,62,0,V-O overlap > 0.5
62,63,0,V-O overlap > 0.5
63,64,0,V-O overlap > 0.5
64,65,0,V-O overlap > 0.5
65,66,0,V-O overlap > 0.5
66,67,0,V-O overlap > 0.5
67,68,0,V-O overlap > 0.5
68,69,0,V-O overlap > 0.5
69,70,0,V-O overlap > 0.5
70,71,0,V-O overlap > 0.5
71,72,0,V-O overlap > 0.5
72,73,2,V-O overlap > 0.5
73,74,1,V-O overlap > 0.5
74,75,3,V-O overlap > 0.5
75,76,0,V-O overlap > 0.5
76,77,1,V-O overlap > 0.5
77,78,1,V-O overlap > 0.5
78,79,0,V-O overlap > 0.5
79,80,0,V-O overlap > 0.5
0,1,0,V-O overlap > 0.7
1,2,0,V-O overlap > 0.7
2,3,0,V-O overlap > 0.7
3,4,0,V-O overlap > 0.7
4,5,0,V-O overlap > 0.7
5,6,0,V-O overlap > 0.7
6,7,0,V-O overlap > 0.7
7,8,0,V-O overlap > 0.7
8,9,0,V-O overlap > 0.7
9,10,0,V-O overlap > 0.7
10,11,0,V-O overlap > 0.7
11,12,0,V-O overlap > 0.7
12,13,0,V-O overlap > 0.7
13,14,0,V-O overlap > 0.7
14,15,0,V-O overlap > 0.7
15,16,0,V-O overlap > 0.7
16,17,0,V-O overlap > 0.7
17,18,0,V-O overlap > 0.7
18,19,0,V-O overlap > 0.7
19,20,0,V-O overlap > 0.7
20,21,0,V-O overlap > 0.7
21,22,0,V-O overlap > 0.7
22,23,0,V-O overlap > 0.7
23,24,0,V-O overlap > 0.7
24,25,0,V-O overlap > 0.7
25,26,0,V-O overlap > 0.7
26,27,0,V-O overlap > 0.7
27,28,0,V-O overlap > 0.7
28,29,0,V-O overlap > 0.7
29,30,0,V-O overlap > 0.7
30,31,0,V-O overlap > 0.7
31,32,0,V-O overlap > 0.7
32,33,0,V-O overlap > 0.7
33,34,0,V-O overlap > 0.7
34,35,0,V-O overlap > 0.7
35,36,0,V-O overlap > 0.7
36,37,0,V-O overlap > 0.7
37,38,0,V-O overlap > 0.7
38,39,0,V-O overlap > 0.7
39,40,0,V-O overlap > 0.7
40,41,0,V-O overlap > 0.7
41,42,0,V-O overlap > 0.7
42,43,0,V-O overlap > 0.7
43,44,0,V-O overlap > 0.7
44,45,0,V-O overlap > 0.7
45,46,0,V-O overlap > 0.7
46,47,0,V-O overlap > 0.7
47,48,1,V-O overlap > 0.7
48,49,4,V-O overlap > 0.7
49,50,3,V-O overlap > 0.7
50,51,6,V-O overlap > 0.7
51,52,0,V-O overlap > 0.7
52,53,0,V-O overlap > 0.7
53,54,0,V-O overlap > 0.7
54,55,0,V-O overlap > 0.7
55,56,0,V-O overlap > 0.7
56,57,0,V-O overlap > 0.7
57,58,0,V-O overlap > 0.7
58,59,0,V-O overlap > 0.7
59,60,0,V-O overlap > 0.7
60,61,0,V-O overlap > 0.7
61,62,0,V-O overlap > 0.7
62,63,0,V-O overlap > 0.7
63,64,0,V-O overlap > 0.7
64,65,0,V-O overlap > 0.7
65,66,0,V-O overlap > 0.7
66,67,0,V-O overlap > 0.7
67,68,0,V-O overlap > 0.7
68,69,0,V-O overlap > 0.7
69,70,0,V-O overlap > 0.7
70,71,0,V-O overlap > 0.7
71,72,0,V-O overlap > 0.7
72,73,0,V-O overlap > 0.7
73,74,0,V-O overlap > 0.7
74,75,0,V-O overlap > 0.7
75,76,0,V-O overlap > 0.7
76,77,0,V-O overlap > 0.7
77,78,0,V-O overlap > 0.7
78,79,0,V-O overlap > 0.7
79,80,0,V-O overlap > 0.7
