checkpoint,checkpoint_label,state_index,producing_block,mixing_weight_pct
esmfold2,ESMFold2,0,,0.3110041763
esmfold2,ESMFold2,1,0.0,0.0143107555
esmfold2,ESMFold2,2,1.0,0.0240003021
esmfold2,ESMFold2,3,2.0,0.0364922166
esmfold2,ESMFold2,4,3.0,0.0433687992
esmfold2,ESMFold2,5,4.0,0.0623326767
esmfold2,ESMFold2,6,5.0,0.107241247
esmfold2,ESMFold2,7,6.0,0.1505208587
esmfold2,ESMFold2,8,7.0,0.1984023812
esmfold2,ESMFold2,9,8.0,0.2536576179
esmfold2,ESMFold2,10,9.0,0.4018116826
esmfold2,ESMFold2,11,10.0,0.7022548838
esmfold2,ESMFold2,12,11.0,0.1551668136
esmfold2,ESMFold2,13,12.0,0.0592233236
esmfold2,ESMFold2,14,13.0,0.0208804493
esmfold2,ESMFold2,15,14.0,0.0135462116
esmfold2,ESMFold2,16,15.0,0.006808956
esmfold2,ESMFold2,17,16.0,0.00433834
esmfold2,ESMFold2,18,17.0,0.0029545336
esmfold2,ESMFold2,19,18.0,0.0023685527
esmfold2,ESMFold2,20,19.0,0.0020045784
esmfold2,ESMFold2,21,20.0,0.0017557756
esmfold2,ESMFold2,22,21.0,0.0016545282
esmfold2,ESMFold2,23,22.0,0.0017227488
esmfold2,ESMFold2,24,23.0,0.0020642302
esmfold2,ESMFold2,25,24.0,0.0020069178
esmfold2,ESMFold2,26,25.0,0.0019395782
esmfold2,ESMFold2,27,26.0,0.0020671704
esmfold2,ESMFold2,28,27.0,0.0022009364
esmfold2,ESMFold2,29,28.0,0.0023141288
esmfold2,ESMFold2,30,29.0,0.0028922708
esmfold2,ESMFold2,31,30.0,0.003539221
esmfold2,ESMFold2,32,31.0,0.0043843958
esmfold2,ESMFold2,33,32.0,0.0046195485
esmfold2,ESMFold2,34,33.0,0.0048543451
esmfold2,ESMFold2,35,34.0,0.0055434766
esmfold2,ESMFold2,36,35.0,0.0056332283
esmfold2,ESMFold2,37,36.0,0.0069017287
esmfold2,ESMFold2,38,37.0,0.0062173995
esmfold2,ESMFold2,39,38.0,0.0070345517
esmfold2,ESMFold2,40,39.0,0.0088710893
esmfold2,ESMFold2,41,40.0,0.0101495728
esmfold2,ESMFold2,42,41.0,0.0142066687
esmfold2,ESMFold2,43,42.0,0.0128667648
esmfold2,ESMFold2,44,43.0,0.0187428712
