block,produced_state,family,mean_overlap,minimum_overlap,maximum_overlap
0,1,gate,0.1115073102,0.1057242013,0.1222734712
0,1,value,0.1128060758,0.1087369279,0.1208358412
1,2,gate,0.1069894814,0.1066824172,0.1073430572
1,2,value,0.1119966466,0.109639883,0.1148814543
2,3,gate,0.1015666904,0.0996778349,0.1040578085
2,3,value,0.1050344847,0.1032555925,0.1094159235
3,4,gate,0.1017952219,0.1000234706,0.1033338607
3,4,value,0.109051241,0.1076430683,0.1101822828
4,5,gate,0.1043858545,0.1023393547,0.107467367
4,5,value,0.1094145548,0.1083265259,0.1113307904
5,6,gate,0.0975146518,0.0962446267,0.0989762418
5,6,value,0.1014949771,0.0996061116,0.1026368651
6,7,gate,0.1002445387,0.0983400467,0.1035300113
6,7,value,0.1056109488,0.1029633551,0.1070554234
7,8,gate,0.1073929485,0.1046781309,0.1126855745
7,8,value,0.1108605591,0.1097727768,0.1136934759
8,9,gate,0.1004923443,0.0989966336,0.1020871675
8,9,value,0.1060406503,0.102850538,0.10866021
9,10,gate,0.1078109066,0.1057339713,0.1100805938
9,10,value,0.1053571072,0.1034438661,0.1068419961
10,11,gate,0.1049519772,0.100337121,0.1094329801
10,11,value,0.1111728628,0.1091459381,0.1137869888
11,12,gate,0.1056389755,0.1034577293,0.1069930184
11,12,value,0.1109721261,0.1079864143,0.1142627877
12,13,gate,0.1092199012,0.1051455407,0.1148457787
12,13,value,0.1046452027,0.1031355838,0.106106142
13,14,gate,0.109565605,0.1044420919,0.1151513761
13,14,value,0.1021533891,0.1002564785,0.1042400039
14,15,gate,0.1094355169,0.1030083852,0.1141481871
14,15,value,0.1032769465,0.1017964732,0.1043809994
15,16,gate,0.106215693,0.1029562639,0.1088995731
15,16,value,0.1019995082,0.0998717374,0.1050269035
16,17,gate,0.1098423109,0.1074374404,0.1124528907
16,17,value,0.1065600799,0.1055321175,0.1077119299
17,18,gate,0.1062107982,0.1041153476,0.1074631012
17,18,value,0.1044934283,0.1011928327,0.1063841445
18,19,gate,0.1071621767,0.1045381292,0.109946076
18,19,value,0.1029008918,0.101533388,0.1058108601
19,20,gate,0.1072709666,0.1028722822,0.1103439408
19,20,value,0.1027043764,0.1018523347,0.1035199245
20,21,gate,0.1044743973,0.1014207693,0.1082459247
