block,produced_state,family,effective_rank,depth_residual,local_robust_z,bh_q
0,1,q,104.7309509941,-279.2413865238,-3.1547287012,0.0426624004
1,2,q,258.9958413245,-101.7486545998,-1.1568093244,0.9697094807
2,3,q,320.4757510801,-19.4491632763,0.1855077509,0.9707450308
3,4,q,401.799581534,80.3465100415,2.5457657863,0.9697094807
4,5,q,366.6026050798,61.3341590685,1.4661392379,0.9697094807
5,6,q,302.6419259334,11.3314093423,-0.5203632773,0.9707450308
6,7,q,307.2140887392,27.6953268291,-0.3930445438,0.9707450308
7,8,q,331.2241368144,61.3914761673,0.3586463704,0.9697094807
8,9,q,279.8926997809,17.7010083004,-0.722506557,0.9707450308
9,10,q,345.261313415,88.7259803264,0.8359173247,0.9697094807
10,11,q,338.4444969196,85.6414327699,1.2134547008,0.9697094807
11,12,q,202.1166930931,-48.8176702494,-1.2491396423,0.9697094807
12,13,q,232.965687988,-17.9030213574,-0.6933956642,0.9707450308
13,14,q,241.8967188103,-10.6488620264,-0.4879807735,0.9707450308
14,15,q,263.41822631,7.513769815,-0.3943553459,0.971435324
15,16,q,222.5562836776,-38.328531321,-0.9903999708,0.9697094807
16,17,q,277.8699032494,10.4437682234,-0.0982107668,0.9707450308
17,18,q,309.4009226905,33.9330274349,0.0121028971,0.9697094807
18,19,q,338.7104573603,53.7608829944,0.0567477563,0.9697094807
19,20,q,365.6992474326,69.8885963973,0.2144438112,0.9697094807
20,21,q,391.5251354733,83.534531531,0.4065857756,0.9697094807
21,22,q,358.4576865601,37.0287747949,-0.8321235206,0.9697094807
22,23,q,384.1251682388,48.0601150564,-0.3428159117,0.9697094807
23,24,q,418.6524008874,66.8138940148,0.5970232991,0.9697094807
24,25,q,413.3077122296,44.6189607156,0.15604938,0.9697094807
25,26,q,408.5480819372,21.9928161521,-0.1273670096,0.9707450308
26,27,q,403.6391412849,-1.7383870796,-0.4771383678,0.9860013999
27,28,q,462.8393121309,37.7442942005,0.127071869,0.9697094807
28,29,q,489.0343939172,43.3871807558,0.0848743567,0.9697094807
29,30,q,550.7226094815,83.7490167457,0.6362334841,0.9697094807
30,31,q,557.7868111589,68.7731758268,0.7524265027,0.9697094807
31,32,q,553.3068078083,41.5999881795,0.4971325565,0.9697094807
32,33,q,497.3389635274,-37.6536607768,-2.2574361739,0.9697094807
33,34,q,555.0576453877,-3.7528826491,-0.0118417115,0.9814714731
34,35,q,506.7828292412,-76.317180264,-2.639818003,0.9697094807
35,36,q,578.3653628991,-29.4351844885,0.318546674,0.9697094807
36,37,q,563.9670163464,-68.8846040162,-0.3764159587,0.9697094807
37,38,q,607.3611493721,-50.8315577363,0.3329161975,0.9697094807
38,39,q,588.4526826958,-95.3106036079,-0.3893677136,0.9697094807
39,40,q,622.9820626769,-86.5207739499,-0.0145653513,0.9697094807
40,41,q,640.8902564879,-94.4605802683,0.0111246414,0.9697094807
41,42,q,656.5357937105,-104.7109716598,-0.1621320754,0.9697094807
42,43,q,723.0184954171,-64.1116057305,-0.0446640035,0.9697094807
43,44,q,868.977476539,56.0371537726,1.1040293275,0.9697094807
44,45,q,804.7970847765,-33.8198241287,0.3391123851,0.9697094807
45,46,q,831.9225173085,-32.1768209341,0.7219351036,0.9697094807
46,47,q,898.3969495598,9.069860103,0.9735004421,0.9707450308
47,48,q,892.4162961235,-21.8233451029,0.7646157078,0.9707450308
48,49,q,717.3351343177,-221.4413379119,-1.9889640796,0.2499750025
49,50,q,782.1362242547,-180.7408368904,-0.8374975362,0.7103289671
50,51,q,718.5128566334,-267.9680300179,-1.3786584251,0.0426624004
51,52,q,841.7039544651,-167.8234729614,-0.3417525538,0.8819118088
52,53,q,941.5863158777,-90.3698462716,-0.0242272966,0.9697094807
53,54,q,1005.0082856097,-48.6982838883,-0.0323767159,0.9697094807
54,55,q,1091.1566281605,16.4385000094,-0.0785048047,0.9707450308
55,56,q,1213.954755417,119.02443863,0.3789760171,0.9697094807
56,57,q,1256.4703968572,142.187782773,0.5030895878,0.9697094807
57,58,q,1292.6255479507,159.9110492297,1.3941480561,0.8819118088
58,59,q,1255.5848357056,105.4193863296,0.3906568139,0.9697094807
59,60,q,1238.7598518725,72.1849071449,-0.3205438026,0.9697094807
60,61,q,1195.4637466121,13.581283158,-1.552240669,0.9707450308
61,62,q,1229.4986217992,33.4711375649,-1.3960541678,0.9697094807
62,63,q,1269.5522374189,60.6027516728,-0.3299962068,0.9697094807
63,64,q,1301.672569036,81.0846223676,0.3015885964,0.9697094807
64,65,q,1292.0995308015,61.2171851221,-0.2537938701,0.9697094807
65,66,q,1332.00529076,92.2331293024,0.4549208884,0.9697094807
66,67,q,1347.1754826694,99.978609988,1.205501118,0.9697094807
67,68,q,1361.1001764515,108.0042184223,1.9757961685,0.9697094807
68,69,q,1313.0445433141,55.6356471345,-0.3071455984,0.9697094807
69,70,q,1348.6472924689,88.572126658,1.4058043901,0.9697094807
70,71,q,1309.9837363754,48.9494907738,-0.3740829825,0.9697094807
71,72,q,1320.3016006872,60.075986457,0.1628434795,0.9697094807
72,73,q,1325.0961129546,67.5073625797,0.266431035,0.9697094807
73,74,q,1301.3235086914,48.260375977,0.3808912519,0.9697094807
74,75,q,1237.2019879215,-9.3862520054,-0.3237826534,0.9707450308
75,76,q,1231.3351370059,-6.7684136852,-0.0543698435,0.971697702
76,77,q,1196.6102893032,-30.9382543819,-0.3318369989,0.9697094807
77,78,q,1203.7425078161,-11.1201897717,-0.2659149229,0.9707450308
78,79,q,1042.2740919313,-157.7113991459,-5.8245558617,0.8819118088
79,80,q,907.0508906567,-275.8055121752,-7.2524994803,0.0426624004
