state weight
0 0.3110041763
1 0.0143107555
2 0.0240003021
3 0.0364922166
4 0.0433687992
5 0.0623326767
6 0.1072412470
7 0.1505208587
8 0.1984023812
9 0.2536576179
10 0.4018116826
11 0.7022548838
12 0.1551668136
13 0.0592233236
14 0.0208804493
15 0.0135462116
16 0.0068089560
17 0.0043383400
18 0.0029545336
19 0.0023685527
20 0.0020045784
21 0.0017557756
22 0.0016545282
23 0.0017227488
24 0.0020642302
25 0.0020069178
26 0.0019395782
27 0.0020671704
28 0.0022009364
29 0.0023141288
30 0.0028922708
31 0.0035392210
32 0.0043843958
33 0.0046195485
34 0.0048543451
35 0.0055434766
36 0.0056332283
37 0.0069017287
38 0.0062173995
39 0.0070345517
40 0.0088710893
41 0.0101495728
42 0.0142066687
43 0.0128667648
44 0.0187428712
45 0.0344496710
46 0.0339375797
47 0.0855876723
48 0.8096328984
49 1.8532629692
50 3.9192742638
51 10.6536501016
52 3.3216194660
53 2.5537221293
54 0.4214544012
55 0.1480012444
56 0.0563583057
57 0.0776007591
58 0.0798266547
59 0.1056743222
60 0.1891167092
61 0.4437105042
62 0.4618797687
63 0.2102746612
64 0.0713733956
65 0.0528506797
66 0.0316671389
67 0.0381250555
68 0.0422294353
69 0.0369458162
70 0.0205506122
71 0.0189693140
72 0.0222149903
73 0.0439737291
74 0.3306059190
75 1.7100794745
76 4.0025106076
77 7.4218044186
78 12.5330611619
79 23.0812138950
80 22.3759177709
