state weight
0 0.6994901885
1 0.0216165747
2 0.0237054617
3 0.0365013917
4 0.0512581025
5 0.0944230363
6 0.2413007205
7 0.3415466256
8 0.4571182421
9 0.5207669851
10 0.8359508125
11 1.7794740660
12 0.0923385049
13 0.0197014206
14 0.0018129014
15 0.0010158977
16 0.0003660122
17 0.0002234588
18 0.0001728407
19 0.0001427293
20 0.0001248740
21 0.0001171557
22 0.0001133454
23 0.0001128528
24 0.0001211414
25 0.0001152391
26 0.0001127902
27 0.0001130139
28 0.0001144142
29 0.0001172846
30 0.0001259241
31 0.0001339076
32 0.0001413378
33 0.0001441291
34 0.0001473731
35 0.0001531536
36 0.0001583927
37 0.0001786677
38 0.0001716966
39 0.0001897746
40 0.0002188633
41 0.0002700945
42 0.0003988355
43 0.0003965685
44 0.0005444275
45 0.0011315780
46 0.0012005623
47 0.0105825556
48 1.4645181737
49 4.4095296191
50 5.5901378947
51 9.9882865813
52 3.6394084594
53 2.0460352852
54 0.1405458180
55 0.0530418026
56 0.0156418305
57 0.0277775880
58 0.0244908874
59 0.0298958778
60 0.0800303761
61 0.3953701544
62 0.4058235793
63 0.1797312687
64 0.0332826944
65 0.0180492022
66 0.0092070548
67 0.0071609592
68 0.0106022286
69 0.0061177781
70 0.0031076226
71 0.0034422629
72 0.0030067189
73 0.0055431494
74 0.3318001384
75 1.8162870095
76 3.5866089405
77 6.4421220889
78 11.7548601207
79 20.5840149172
80 21.6581459915
