state weight
0 2.6207243169
1 0.0056986088
2 0.0085787628
3 0.0155829191
4 0.0237632670
5 0.0482221447
6 0.1931035563
7 0.2542877629
8 0.4112953317
9 0.4987286190
10 0.8871411820
11 2.2105566156
12 0.0673187565
13 0.0113560922
14 0.0009896023
15 0.0006722964
16 0.0002982415
17 0.0002075367
18 0.0001663914
19 0.0001425034
20 0.0001243473
21 0.0001160012
22 0.0001122950
23 0.0001143216
24 0.0001211095
25 0.0001193225
26 0.0001154526
27 0.0001163296
28 0.0001152817
29 0.0001179410
30 0.0001289583
31 0.0001382503
32 0.0001447307
33 0.0001508733
34 0.0001565131
35 0.0001625182
36 0.0001671816
37 0.0001882771
38 0.0001817976
39 0.0001926468
40 0.0002154830
41 0.0002419443
42 0.0003584521
43 0.0003504004
44 0.0004422393
45 0.0007036104
46 0.0007761461
47 0.0040117440
48 0.5543104566
49 2.6084781284
50 2.6961259086
51 10.2527242574
52 3.7206198931
53 2.8094709816
54 0.1685285772
55 0.0311521989
56 0.0067884669
57 0.0122382500
58 0.0105955960
59 0.0130224005
60 0.0413638158
61 0.3968147643
62 0.3955682788
63 0.1427187749
64 0.0137663839
65 0.0051513409
66 0.0018593553
67 0.0013634999
68 0.0015171000
69 0.0006984945
70 0.0004550816
71 0.0004690347
72 0.0007624941
73 0.0017131618
74 0.5873421843
75 1.8095197724
76 4.2357223445
77 5.2352908604
78 12.4935421733
79 19.9112433220
80 24.5703439719
