state weight
0 1.4885018138
1 0.0151888019
2 0.0254442931
3 0.0405487289
4 0.0580511290
5 0.0904073586
6 0.1916030850
7 0.2558804733
8 0.3215650427
9 0.4402583046
10 0.7964763167
11 1.6640108542
12 0.1597516775
13 0.0405878240
14 0.0073174355
15 0.0039657874
16 0.0014751151
17 0.0008205129
18 0.0005870438
19 0.0004595612
20 0.0003819588
21 0.0003466473
22 0.0003168126
23 0.0003102630
24 0.0003383816
25 0.0003389788
26 0.0003335662
27 0.0003426267
28 0.0003593753
29 0.0003895476
30 0.0004574588
31 0.0005135912
32 0.0005797985
33 0.0006170122
34 0.0006532360
35 0.0006954232
36 0.0007026490
37 0.0008782635
38 0.0007540940
39 0.0008348350
40 0.0010311500
41 0.0013168344
42 0.0022261204
43 0.0021640408
44 0.0034362901
45 0.0068993900
46 0.0079144605
47 0.0277795486
48 1.3668484689
49 2.9001918019
50 4.1231715129
51 10.1337734901
52 2.9259956517
53 2.2633085386
54 0.1933620911
55 0.0463422745
56 0.0162294556
57 0.0226253141
58 0.0206979433
59 0.0264225266
60 0.0741900417
61 0.3246289806
62 0.2829586187
63 0.1085904777
64 0.0198810282
65 0.0106128709
66 0.0050161446
67 0.0046599317
68 0.0036296967
69 0.0026000866
70 0.0015836206
71 0.0015788697
72 0.0027011379
73 0.0099054668
74 0.3202176893
75 1.7151674943
76 3.9273142185
77 5.7661635376
78 12.5126926916
79 20.9084303518
80 24.2926944621
