block mean minimum maximum
0 0.1115073102 0.1057242013 0.1222734712
1 0.1069894814 0.1066824172 0.1073430572
2 0.1015666904 0.0996778349 0.1040578085
3 0.1017952219 0.1000234706 0.1033338607
4 0.1043858545 0.1023393547 0.1074673670
5 0.0975146518 0.0962446267 0.0989762418
6 0.1002445387 0.0983400467 0.1035300113
7 0.1073929485 0.1046781309 0.1126855745
8 0.1004923443 0.0989966336 0.1020871675
9 0.1078109066 0.1057339713 0.1100805938
10 0.1049519772 0.1003371210 0.1094329801
11 0.1056389755 0.1034577293 0.1069930184
12 0.1092199012 0.1051455407 0.1148457787
13 0.1095656050 0.1044420919 0.1151513761
14 0.1094355169 0.1030083852 0.1141481871
15 0.1062156930 0.1029562639 0.1088995731
16 0.1098423109 0.1074374404 0.1124528907
17 0.1062107982 0.1041153476 0.1074631012
18 0.1071621767 0.1045381292 0.1099460760
19 0.1072709666 0.1028722822 0.1103439408
20 0.1044743973 0.1014207693 0.1082459247
21 0.1077506806 0.1035976935 0.1106702932
22 0.1073327492 0.1057459831 0.1094238227
23 0.1054861714 0.1042276746 0.1061484596
24 0.1068438207 0.1050854177 0.1089022176
25 0.1066822804 0.1050290829 0.1078404314
26 0.1067199733 0.1044845408 0.1097330208
27 0.1065691468 0.1055407934 0.1086934155
28 0.1064608562 0.1045769608 0.1090210872
29 0.1060101261 0.1049516018 0.1075299428
30 0.1072861273 0.1068200855 0.1083489021
31 0.1056492945 0.1025298109 0.1076967130
32 0.1069569079 0.1052366207 0.1090737177
33 0.1032204098 0.1004635388 0.1053420667
34 0.1063899296 0.1029908795 0.1111279733
35 0.1062714844 0.1050905798 0.1091144691
36 0.1076372344 0.1030704977 0.1123479807
37 0.1053766709 0.1030783256 0.1087961452
38 0.1058216204 0.1036368705 0.1078044702
39 0.1045839408 0.1029147985 0.1071792939
40 0.1034357902 0.1010123010 0.1064602687
41 0.1046561843 0.1014942063 0.1063696814
42 0.1080410785 0.1045283107 0.1130999874
43 0.1093289091 0.1066143834 0.1128433174
44 0.1116008613 0.1096256784 0.1141669668
45 0.1117960644 0.1104856148 0.1147325306
46 0.1133612583 0.1110404102 0.1154475535
47 0.1156667567 0.1104582736 0.1208530446
48 0.1401642769 0.1289278819 0.1467061326
49 0.1516586402 0.1378936352 0.1614939442
50 0.1635934254 0.1486480949 0.1752810403
51 0.1423830157 0.1324615828 0.1495972461
52 0.1276693517 0.1206357418 0.1341665694
53 0.1188317778 0.1136857056 0.1253490232
54 0.1221105147 0.1141433234 0.1304913116
55 0.1150975692 0.1088661336 0.1210704388
56 0.1136131398 0.1117614849 0.1161427107
57 0.1132368572 0.1075390029 0.1167505891
58 0.1120126591 0.1090046710 0.1140633372
59 0.1148835146 0.1128451401 0.1167354303
60 0.1239807367 0.1207707686 0.1283941688
61 0.1419867347 0.1343125462 0.1495316602
62 0.1407098258 0.1304043519 0.1500871127
63 0.1272306201 0.1206818345 0.1335464789
64 0.1202012372 0.1151310402 0.1265863214
65 0.1197705028 0.1147360816 0.1229924697
66 0.1178590289 0.1146025321 0.1213032854
67 0.1233810554 0.1198159645 0.1270962694
68 0.1321273482 0.1271976060 0.1380548730
69 0.1461773285 0.1351642034 0.1580946395
70 0.1579191247 0.1467433368 0.1710212908
71 0.1587820124 0.1444249856 0.1718648293
72 0.1764362240 0.1585295193 0.1924002924
73 0.1856551788 0.1678222455 0.2031220469
74 0.1907391239 0.1714627155 0.2071461700
75 0.2012346604 0.1828891858 0.2179432903
76 0.1941663976 0.1723550666 0.2131216378
77 0.2662125256 0.2301185173 0.2939295762
78 0.2424069335 0.2210967990 0.2536716732
79 0.3532054454 0.2963335324 0.4063616572
