block mean minimum maximum
0 0.1128060758 0.1087369279 0.1208358412
1 0.1119966466 0.1096398830 0.1148814543
2 0.1050344847 0.1032555925 0.1094159235
3 0.1090512410 0.1076430683 0.1101822828
4 0.1094145548 0.1083265259 0.1113307904
5 0.1014949771 0.0996061116 0.1026368651
6 0.1056109488 0.1029633551 0.1070554234
7 0.1108605591 0.1097727768 0.1136934759
8 0.1060406503 0.1028505380 0.1086602100
9 0.1053571072 0.1034438661 0.1068419961
10 0.1111728628 0.1091459381 0.1137869888
11 0.1109721261 0.1079864143 0.1142627877
12 0.1046452027 0.1031355838 0.1061061420
13 0.1021533891 0.1002564785 0.1042400039
14 0.1032769465 0.1017964732 0.1043809994
15 0.1019995082 0.0998717374 0.1050269035
16 0.1065600799 0.1055321175 0.1077119299
17 0.1044934283 0.1011928327 0.1063841445
18 0.1029008918 0.1015333880 0.1058108601
19 0.1027043764 0.1018523347 0.1035199245
20 0.0997655584 0.0971263256 0.1045694156
21 0.1037437915 0.1030029632 0.1049770890
22 0.1051728211 0.1043217744 0.1060862331
23 0.1035780680 0.1027325708 0.1041140796
24 0.1016353808 0.0984689364 0.1041192286
25 0.1049262673 0.1016165028 0.1069902581
26 0.1028808718 0.0985621758 0.1082989504
27 0.1036833715 0.1031713150 0.1043923936
28 0.1025233799 0.1001667779 0.1054409652
29 0.1038957934 0.1021154082 0.1056513142
30 0.1047754769 0.1028459909 0.1071148704
31 0.1044342522 0.1021141271 0.1064597392
32 0.1031481305 0.1016044577 0.1054724816
33 0.1013168006 0.0997044404 0.1020391221
34 0.1056959969 0.1044893130 0.1075844504
35 0.1040170125 0.0996253596 0.1070774022
36 0.1032544334 0.1022795927 0.1039064393
37 0.1035897872 0.1012982691 0.1051898474
38 0.1011064916 0.0999779539 0.1026020143
39 0.1047905838 0.1025256352 0.1068036883
40 0.1026441325 0.0993850674 0.1044182228
41 0.1039141693 0.1023430346 0.1068121979
42 0.1052671690 0.1026232485 0.1090465849
43 0.1057001930 0.1015239997 0.1096592699
44 0.1067500385 0.1043691264 0.1095164768
45 0.1080972625 0.1058516001 0.1126312241
46 0.1131568312 0.1100099424 0.1170145845
47 0.1150419968 0.1093209552 0.1196906182
48 0.1356788238 0.1257909217 0.1418120153
49 0.1409230664 0.1326570626 0.1454377871
50 0.1599533642 0.1467823629 0.1680359352
51 0.1436405216 0.1332069437 0.1517654423
52 0.1364357462 0.1290903697 0.1435882525
53 0.1224805104 0.1159916240 0.1293348963
54 0.1195514670 0.1125371512 0.1253002759
55 0.1125674240 0.1087703945 0.1161617807
56 0.1116536064 0.1082327077 0.1135135997
57 0.1129853230 0.1080277701 0.1187214763
58 0.1109216776 0.1086755005 0.1132953757
59 0.1201968722 0.1182827079 0.1212015502
60 0.1373489692 0.1320001469 0.1427114049
61 0.1525687170 0.1428411065 0.1620412805
62 0.1425070055 0.1329155341 0.1497325275
63 0.1294744137 0.1241105092 0.1358303003
64 0.1242234221 0.1203324619 0.1289171525
65 0.1220998743 0.1180492188 0.1252463819
66 0.1177386380 0.1147319249 0.1206938763
67 0.1262340504 0.1225636961 0.1301020551
68 0.1303178465 0.1248640775 0.1395068873
69 0.1385084547 0.1325701833 0.1464574676
70 0.1488041717 0.1430345057 0.1577820363
71 0.1551161983 0.1447084583 0.1676546872
72 0.1726956965 0.1601563255 0.1850405702
73 0.2097145404 0.1898477952 0.2289038060
74 0.2310529412 0.2077894140 0.2484252328
75 0.2078860909 0.1879566373 0.2264732930
76 0.2163761090 0.1965714717 0.2300612578
77 0.2609735664 0.2348722495 0.2752943247
78 0.2601146201 0.2441553902 0.2675264477
79 0.2572570984 0.2260298113 0.2869309188
